dia,estacion,viento,lluvia,puntualidad
laborable,primavera,ninguno,ninguna,puntual
laborable,invierno,ninguno,debil,puntual
laborable,invierno,ninguno,debil,puntual
laborable,invierno,fuerte,intensa,tarde
sabado,verano,moderado,ninguna,puntual
laborable,otono,moderado,ninguna,tarde
festivo,verano,fuerte,debil,puntual
domingo,verano,moderado,ninguna,puntual
laborable,invierno,fuerte,intensa,tarde
laborable,verano,ninguno,debil,puntual
sabado,primavera,fuerte,intensa,tarde
laborable,verano,fuerte,debil,puntual
sabado,invierno,moderado,ninguna,tarde
laborable,verano,fuerte,ninguna,puntual
laborable,invierno,moderado,intensa,tarde
sabado,otono,fuerte,debil,puntual
laborable,otono,ninguno,intensa,puntual
festivo,verano,moderado,debil,puntual
laborable,verano,moderado,ninguna,puntual
laborable,verano,moderado,debil,puntual
laborable,primavera,ninguno,debil,puntual
laborable,primavera,fuerte,ninguna,puntual
festivo,verano,moderado,intensa,tarde
sabado,primavera,moderado,debil,puntual
laborable,primavera,ninguno,ninguna,puntual
laborable,invierno,ninguno,debil,puntual
laborable,invierno,ninguno,debil,puntual
laborable,invierno,fuerte,intensa,tarde
sabado,verano,moderado,ninguna,puntual
laborable,otono,moderado,ninguna,tarde
festivo,verano,fuerte,debil,puntual
domingo,verano,moderado,ninguna,puntual
laborable,invierno,fuerte,intensa,tarde
laborable,verano,ninguno,debil,puntual
sabado,primavera,fuerte,intensa,tarde
laborable,verano,fuerte,debil,puntual
sabado,invierno,moderado,ninguna,tarde
laborable,verano,fuerte,ninguna,puntual
laborable,invierno,moderado,intensa,tarde
sabado,otono,fuerte,debil,puntual
laborable,otono,ninguno,intensa,puntual
festivo,verano,moderado,debil,puntual
laborable,verano,moderado,ninguna,puntual
laborable,verano,moderado,debil,puntual
laborable,primavera,ninguno,debil,puntual
laborable,primavera,fuerte,ninguna,puntual
festivo,verano,moderado,intensa,tarde
sabado,primavera,moderado,debil,puntual
festivo,invierno,fuerte,intensa,tarde
