sexo;examen_estadistica;clases_consulta
hombre;91;0
hombre;77.5;0
mujer;52.5;0
mujer;54;0
mujer;53.5;0
hombre;62;0
mujer;59;0
hombre;51.5;0
mujer;61.5;0
mujer;56.5;0
hombre;47.5;0
hombre;75;0
hombre;47.5;0
hombre;53.5;0
mujer;50;0
mujer;50;0
hombre;49;0
mujer;59;0
hombre;60;0
mujer;60;0
hombre;60.5;0
mujer;50;0
mujer;101;0
hombre;60;0
hombre;60;0
mujer;83.5;0
mujer;61;0
mujer;75;0
hombre;84;0
hombre;56.5;0
hombre;56.5;0
mujer;45;0
hombre;60.5;0
mujer;77.5;0
hombre;62.5;0
mujer;70;0
mujer;69;0
mujer;62;0
mujer;107.5;0
mujer;54.5;0
hombre;92.5;0
mujer;94.5;0
hombre;65;0
mujer;80;0
mujer;45;0
mujer;45;0
mujer;66;0
hombre;66;0
mujer;57.5;0
hombre;42.5;0
mujer;60;0
hombre;64;0
mujer;65;0
mujer;47.5;0
hombre;57.5;0
hombre;55;0
hombre;55;0
hombre;76.5;0
hombre;51.5;0
hombre;59.5;0
hombre;59.5;0
hombre;59.5;0
hombre;55;0
mujer;70;0
hombre;66.5;0
hombre;84.5;0
hombre;57.5;0
hombre;125;0
mujer;70.5;0
hombre;79;0
mujer;56;0
hombre;75;0
hombre;57.5;0
hombre;56;0
mujer;67.5;0
hombre;114.5;0
mujer;70;0
mujer;67;0
hombre;60.5;0
mujer;95;0
mujer;65.5;0
mujer;85;0
hombre;55;0
hombre;63.5;0
hombre;61.5;0
hombre;60;0
hombre;52.5;0
mujer;65;0
mujer;87.5;0
mujer;62.5;0
mujer;66.5;0
hombre;67;0
mujer;117.5;0
mujer;47.5;0
mujer;67.5;0
mujer;67.5;0
mujer;77;0
mujer;73.5;0
mujer;73.5;0
mujer;68.5;0
mujer;55;0
mujer;92;0
hombre;55;0
mujer;55;0
hombre;60;0
hombre;120.5;0
mujer;56;0
mujer;84.5;0
mujer;60;0
hombre;85;0
mujer;93;0
hombre;60;0
mujer;65;0
mujer;58.5;0
mujer;85;0
hombre;67;0
mujer;67.5;0
hombre;65;0
mujer;60;0
hombre;47.5;0
mujer;79;0
hombre;80;0
mujer;57.5;0
mujer;64.5;0
mujer;65;0
mujer;60;0
mujer;85;0
mujer;60;0
mujer;58;0
mujer;61.5;0
hombre;60;1
mujer;65;1
hombre;93.5;1
hombre;52.5;1
hombre;42.5;1
hombre;75;1
hombre;48.5;1
hombre;64;1
hombre;66;1
mujer;82.5;1
mujer;52.5;1
mujer;45.5;1
hombre;57.5;1
hombre;65;1
mujer;46;1
mujer;75;1
hombre;100;1
mujer;77.5;1
hombre;51.5;1
hombre;62.5;1
hombre;44.5;1
mujer;51;1
mujer;56;1
mujer;58.5;1
mujer;69;1
hombre;65;1
hombre;60;1
mujer;65;1
hombre;65;1
hombre;40;1
mujer;55;1
hombre;52.5;1
hombre;54.5;1
hombre;74;1
hombre;55;1
mujer;60.5;1
hombre;50;1
hombre;48;1
mujer;51;1
mujer;55;1
hombre;93.5;1
hombre;61;1
hombre;52.5;1
hombre;57.5;1
hombre;60;1
mujer;71;1
mujer;65;1
mujer;60;1
mujer;55;1
hombre;60;1
hombre;77;1
hombre;52.5;1
mujer;95;1
hombre;50;1
mujer;47.5;1
hombre;50;1
hombre;47;1
hombre;71;1
mujer;65;1
